"TestFormatRangeID","ActiveRange","TestFormatCode","PrimaryCode","ConditionalCode","ConditionalValue","Fasting","Sex","Age","AgeUnits","RangeDescription","PhoneRangeLow","PhoneRangeHigh","FlagRangeLow","FlagRangeHigh","AlertRangeLow","AlertRangeHigh","AuthorisationRangeLow","AuthorisationRangeHigh","DateValidFrom"
"203","True","ESR","False","@[096408]","GCA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"204","True","ESR","False","@[095608]","TA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"205","True","ESR","False","@[096408]","TA","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","30.0000",""
"206","True","ESR","False","","","False","M","71","Y","(2.0-30)","","","2.0000","30.0000","","","1.0000","70.0000",""
"207","True","ESR","False","@[095608]","QTA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"208","True","ESR","False","@[096408]","QTA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"209","True","ESR","False","@[095608]","GCA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"210","True","ESR","False","@[096408]","GCA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"211","True","ESR","False","@[095608]","TA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"212","True","ESR","False","@[096408]","TA","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","30.0000",""
"213","True","ESR","False","","","False","F","120","Y","(2.0-36)","","","2.0000","36.0000","","","1.0000","70.0000",""
"214","True","ESR","False","@[095608]","QTA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"215","True","ESR","False","@[096408]","QTA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"216","True","ESR","False","@[095608]","GCA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"217","True","ESR","False","@[096408]","GCA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"218","True","ESR","False","@[095608]","TA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"219","True","ESR","False","@[096408]","TA","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","30.0000",""
"220","True","ESR","False","","","False","M","120","Y","(2.0-50)","","","2.0000","50.0000","","","1.0000","70.0000",""
"221","True","PV","True","","","False","","","","(1.50-1.72)","","","1.5000","1.7200","","","1.5000","1.7200",""
"222","True","MP","True","","","False","","","","","","","","","","","","",""
"223","True","MPA","True","","","False","","","","","","","","","","","","",""
